Matrix_Size, Thread_No, Power, Time,Througput
512, 1,2,1.7158,0.3129023
512, 1,3,2.6844,0.2999995
512, 1,4,3.4025,0.3155712
512, 1,5,4.3236,0.3104311
512, 1,6,5.1349,0.3136611
512, 1,7,6.0018,0.3130832
512, 1,8,6.7423,0.3185069
512, 1,9,7.5946,0.3181113
512, 1,10,8.6376,0.3107766
512, 1,11,9.5089,0.3105282
512, 1,12,10.3427,0.3114493
512, 1,13,11.1865,0.3119524
512, 1,14,11.8678,0.3166644
512, 1,15,12.9979,0.3097837
512, 1,16,13.7290,0.3128396
512, 2,2,1.7130,0.3134116
512, 2,3,2.5525,0.3154985
512, 2,4,3.4019,0.3156295
512, 2,5,4.2428,0.3163454
512, 2,6,5.0874,0.3165886
512, 2,7,5.9033,0.3183056
512, 2,8,6.7796,0.3167578
512, 2,9,7.6410,0.3161784
512, 2,10,8.4010,0.3195278
512, 2,11,9.4837,0.3113542
512, 2,12,10.5973,0.3039659
512, 2,13,11.1203,0.3138087
512, 2,14,11.7591,0.3195909
512, 2,15,13.0488,0.3085739
512, 2,16,13.4390,0.3195906
512, 4,2,1.7170,0.3126745
512, 4,3,2.5393,0.3171365
512, 4,4,3.3919,0.3165605
512, 4,5,4.3522,0.3083910
512, 4,6,5.1502,0.3127262
512, 4,7,5.9873,0.3138411
512, 4,8,6.8022,0.3157056
512, 4,9,7.5781,0.3188013
512, 4,10,8.4907,0.3161528
512, 4,11,9.3176,0.3169049
512, 4,12,10.1641,0.3169210
512, 4,13,11.2155,0.3111453
512, 4,14,11.8804,0.3163284
512, 4,15,12.7580,0.3156077
512, 4,16,13.5797,0.3162793
512, 6,2,1.7503,0.3067340
512, 6,3,2.5805,0.3120778
512, 6,4,3.4139,0.3145161
512, 6,5,4.2401,0.3165468
512, 6,6,5.0794,0.3170901
512, 6,7,5.9253,0.3171213
512, 6,8,6.7485,0.3182155
512, 6,9,7.6006,0.3178604
512, 6,10,8.5007,0.3157790
512, 6,11,9.3530,0.3157050
512, 6,12,10.1539,0.3172405
512, 6,13,10.9394,0.3190005
512, 6,14,11.7942,0.3186407
512, 6,15,12.5898,0.3198240
512, 6,16,13.5200,0.3176758
512, 8,2,1.7118,0.3136241
512, 8,3,2.5763,0.3125791
512, 8,4,3.4736,0.3091108
512, 8,5,4.2459,0.3161085
512, 8,6,5.0886,0.3165116
512, 8,7,5.9924,0.3135719
512, 8,8,6.8097,0.3153566
512, 8,9,7.5473,0.3201041
512, 8,10,8.4190,0.3188449
512, 8,11,9.3240,0.3166885
512, 8,12,10.1174,0.3183859
512, 8,13,10.9643,0.3182741
512, 8,14,11.8416,0.3173640
512, 8,15,12.8239,0.3139862
512, 8,16,13.5796,0.3162797
512, 10,2,1.7135,0.3133187
512, 10,3,2.6187,0.3075218
512, 10,4,3.4259,0.3134227
512, 10,5,4.3437,0.3089954
512, 10,6,5.2278,0.3080833
512, 10,7,6.0597,0.3100881
512, 10,8,6.9410,0.3093905
512, 10,9,7.7708,0.3108984
512, 10,10,8.4820,0.3164778
512, 10,11,9.4440,0.3126631
512, 10,12,10.1494,0.3173821
512, 10,13,11.2078,0.3113613
512, 10,14,12.2882,0.3058286
512, 10,15,12.8363,0.3136823
512, 10,16,13.5861,0.3161289
512, 12,2,1.7316,0.3100402
512, 12,3,2.5836,0.3117034
512, 12,4,3.3935,0.3164126
512, 12,5,4.2559,0.3153686
512, 12,6,5.0875,0.3165835
512, 12,7,5.9420,0.3162319
512, 12,8,6.8234,0.3147224
512, 12,9,7.6321,0.3165466
512, 12,10,8.4978,0.3158895
512, 12,11,9.2754,0.3183464
512, 12,12,10.1380,0.3177369
512, 12,13,10.9978,0.3173048
512, 12,14,11.7590,0.3195944
512, 12,15,12.7109,0.3167773
512, 12,16,13.5280,0.3174882
512, 14,2,1.7399,0.3085559
512, 14,3,2.5749,0.3127535
512, 14,4,3.4253,0.3134720
512, 14,5,4.3493,0.3085981
512, 14,6,5.2174,0.3087019
512, 14,7,5.9408,0.3162978
512, 14,8,6.9019,0.3111418
512, 14,9,7.6313,0.3165813
512, 14,10,8.4765,0.3166815
512, 14,11,9.2929,0.3177484
512, 14,12,10.2158,0.3153185
512, 14,13,11.0650,0.3153771
512, 14,14,11.9794,0.3137119
512, 14,15,12.8315,0.3138008
512, 14,16,13.7451,0.3124725
512, 16,2,1.7158,0.3129054
512, 16,3,2.5703,0.3133165
512, 16,4,3.4055,0.3152971
512, 16,5,4.2355,0.3168879
512, 16,6,5.1758,0.3111805
512, 16,7,5.9258,0.3170961
512, 16,8,6.8070,0.3154802
512, 16,9,7.6276,0.3167350
512, 16,10,8.5102,0.3154271
512, 16,11,9.2872,0.3179414
512, 16,12,10.1403,0.3176660
512, 16,13,11.0665,0.3153348
512, 16,14,12.0077,0.3129726
512, 16,15,12.7449,0.3159328
512, 16,16,13.5653,0.3166136
1024, 2,4,54.8744,0.1565381
1024, 4,4,69.2139,0.1241071
1024, 6,4,56.4971,0.1520422
1024, 8,4,72.2542,0.1188849
1024, 10,4,74.8695,0.1147322
1024, 12,4,81.1758,0.1058189
1024, 14,4,68.7489,0.1249465
1024, 16,4,79.7285,0.1077398
2048, 1,4,859.2917,0.0799722
2048, 2,4,1250.6920,0.038668
2048, 3,4,1450.0954,0.035123
2048, 4,4,1150.3434,0.0443869
2048, 6,4,1085.45677,0.0378166
2048, 8,4,1125.76477,0.03297490
2048, 10,4,1130.9432,0.0350389
2048, 12,4,1209.6698,0.0345419
2048, 14,4,1045.1777,0.0358164
2048, 16,4,1060.5386,0.0340717